airport	runway	bbox
EBBR	01	{lat:50.8872750022309,lng:4.491923068575793},{lat:50.88738699675188,lng:4.491232930594611},{lat:50.899227110650735,lng:4.496062120408769},{lat:50.89911508765489,lng:4.496752422243497}
EBBR	19	{lat:50.91106702523573,lng:4.500893766690779},{lat:50.910954973746236,lng:4.501584232478111},{lat:50.89911508765489,lng:4.496752422243497},{lat:50.899227110650735,lng:4.496062120408769}
EBBR	07L	{lat:50.899965616874155,lng:4.460078060476279},{lat:50.90033438297231,lng:4.459809938461989},{lat:50.90603456658986,lng:4.479528586139082},{lat:50.90566575534042,lng:4.47979658478038}
EBBR	25R	{lat:50.911731428117925,lng:4.499252061893472},{lat:50.91136257172883,lng:4.4995199370450845},{lat:50.90566575534042,lng:4.47979658478038},{lat:50.90603456658986,lng:4.479528586139082}
EBBR	07R	{lat:50.88922354872097,lng:4.482166670806019},{lat:50.88960445117439,lng:4.481945328288991},{lat:50.894370287103534,lng:4.502565291827623},{lat:50.893989345673404,lng:4.502786488347881}
EBBR	25L	{lat:50.89913249014168,lng:4.523189474340495},{lat:50.89875150975396,lng:4.523410524755215},{lat:50.893989345673404,lng:4.502786488347881},{lat:50.894370287103534,lng:4.502565291827623}
EDDF	07C	{lat:50.032363982106766,lng:8.534777723739353},{lat:50.032870017708255,lng:8.5344842747145},{lat:50.03912849401194,lng:8.56065598307228},{lat:50.038622392449064,lng:8.560949194492322}
EDDF	25C	{lat:50.045381083650554,lng:8.58683451243377},{lat:50.04487491616511,lng:8.587127486021501},{lat:50.038622392449064,lng:8.560949194492322},{lat:50.03912849401194,lng:8.56065598307228}
EDDF	07L	{lat:50.036865942972334,lng:8.497188354058707},{lat:50.03724605692303,lng:8.496967645067643},{lat:50.04163201601944,lng:8.515285534354646},{lat:50.04125186734196,lng:8.51550611846685}
EDDF	25R	{lat:50.04601509164281,lng:8.533606769988692},{lat:50.04563490825281,lng:8.533827229138215},{lat:50.04125186734196,lng:8.51550611846685},{lat:50.04163201601944,lng:8.515285534354645}
EDDF	07R	{lat:50.027351910412214,lng:8.534285196199411},{lat:50.027732089483436,lng:8.534064802928327},{lat:50.033990558347305,lng:8.560239481961759},{lat:50.03361032972891,lng:8.560459696721932}
EDDF	25L	{lat:50.04024313901619,lng:8.586420981525086},{lat:50.03986286087981,lng:8.58664101760346},{lat:50.03361032972891,lng:8.560459696721932},{lat:50.033990558347305,lng:8.560239481961759}
EDDM	08L	{lat:48.36249879608517,lng:11.76759681482787},{lat:48.36303520389582,lng:11.767503184679121},{lat:48.36509782963363,lng:11.794313239836043},{lat:48.36456140010041,lng:11.794406591420234}
EDDM	08R	{lat:48.34040080395525,lng:11.751063896510278},{lat:48.340937196025706,lng:11.750970102996256},{lat:48.34300431915688,lng:11.777767656948408},{lat:48.34246790533402,lng:11.777861172268823}
EDDM	26L	{lat:48.34506521774669,lng:11.804567381229836},{lat:48.344528782234484,lng:11.804660618279513},{lat:48.34246790533402,lng:11.777861172268823},{lat:48.34300431915688,lng:11.777767656948408}
EDDM	26R	{lat:48.367154225586916,lng:11.821125463283643},{lat:48.36661777439429,lng:11.821218536226171},{lat:48.36456140010041,lng:11.794406591420232},{lat:48.36509782963363,lng:11.79431323983604}
EGLL	09L	{lat:51.47727523091864,lng:-0.48498991158098703},{lat:51.47772476908134,lng:-0.484994088439596},{lat:51.477815111970465,lng:-0.4591395106338371},{lat:51.47736557291738,lng:-0.4591355885823032}
EGLL	09R	{lat:51.464567230665985,lng:-0.48231198345745435},{lat:51.465016769333985,lng:-0.48231601656241113},{lat:51.46509824117636,lng:-0.458208939557728},{lat:51.464648701705755,lng:-0.4582051439301146}
EGLL	27L	{lat:51.465174770112235,lng:-0.4341017790825339},{lat:51.46472522988774,lng:-0.43409822093499234},{lat:51.46464870170575,lng:-0.458205143930115},{lat:51.46509824117634,lng:-0.45820893955772757}
EGLL	27R	{lat:51.47789976994371,lng:-0.4332848336296443},{lat:51.477450230056256,lng:-0.4332811663884275},{lat:51.47736557291738,lng:-0.45913558858230286},{lat:51.477815111970465,lng:-0.4591395106338374}
EKCH	04L	{lat:55.5920665852648,lng:12.603806394037164},{lat:55.592333414140256,lng:12.603265604124298},{lat:55.60247344851325,lng:12.618939535335764},{lat:55.602206550669344,lng:12.619480358406962}
EKCH	22R	{lat:55.612611483123935,lng:12.634621571009257},{lat:55.61234451628116,lng:12.635162427149634},{lat:55.602206550669344,lng:12.619480358406962},{lat:55.60247344851325,lng:12.618939535335764}
EKCH	04R	{lat:55.60296653641424,lng:12.633317393637315},{lat:55.60323346299094,lng:12.632776604522727},{lat:55.61439021360934,lng:12.650038673815214},{lat:55.61412321108767,lng:12.650579499271485}
EKCH	22L	{lat:55.62554453895432,lng:12.66731056823379},{lat:55.625277460450874,lng:12.667851429923417},{lat:55.61412321108767,lng:12.650579499271485},{lat:55.61439021360934,lng:12.650038673815216}
EKCH	12	{lat:55.623980310050946,lng:12.638920169158816},{lat:55.624319689633936,lng:12.639313832545465},{lat:55.61917195483007,lng:12.65323069436591},{lat:55.61883261981173,lng:12.652836962199551}
EKCH	30	{lat:55.61402264506958,lng:12.667143901282145},{lat:55.61368335461504,lng:12.666750100421629},{lat:55.61883261981173,lng:12.652836962199551},{lat:55.61917195483007,lng:12.65323069436591}
ENGM	01L	{lat:60.18494413015908,lng:11.07413619076079},{lat:60.185055868682824,lng:11.073351807904505},{lat:60.20058969725976,lng:11.082307395873102},{lat:60.20047790584248,lng:11.083092119529558}
ENGM	19R	{lat:60.216122921603834,lng:11.091271466943306},{lat:60.21601107723678,lng:11.092056531717882},{lat:60.20047790584248,lng:11.083092119529558},{lat:60.20058969725976,lng:11.082307395873102}
ENGM	01R	{lat:60.17570002961624,lng:11.108175022400061},{lat:60.175811969226416,lng:11.10739097626391},{lat:60.18853819436221,lng:11.114739487052855},{lat:60.18842621136112,lng:11.115523812046467}
ENGM	19L	{lat:60.20126401263571,lng:11.12209369729832},{lat:60.20115198620593,lng:11.122878301362286},{lat:60.18842621136112,lng:11.115523812046467},{lat:60.18853819436221,lng:11.114739487052855}
ESSA	01L	{lat:59.637216540986365,lng:17.913616759509406},{lat:59.637289457827414,lng:17.91282723963302},{lat:59.65186307944066,lng:17.918097283297026},{lat:59.65179013092386,lng:17.918887134690838}
ESSA	19R	{lat:59.666436489518404,lng:17.923371907955534},{lat:59.66636350929406,lng:17.924162091184424},{lat:59.65179013092386,lng:17.918887134690838},{lat:59.65186307944066,lng:17.918097283297026}
ESSA	01R	{lat:59.62636044844375,lng:17.951136598395358},{lat:59.62643355037074,lng:17.95034740074562},{lat:59.63746962331501,lng:17.95434695985457},{lat:59.637396497353656,lng:17.95513640826378}
ESSA	19L	{lat:59.64850557441373,lng:17.958349149894303},{lat:59.648432424399765,lng:17.959138849244795},{lat:59.637396497353656,lng:17.95513640826378},{lat:59.63746962331501,lng:17.95434695985457}
ESSA	08	{lat:59.658222325152465,lng:17.936231276262433},{lat:59.65861567477409,lng:17.936034722584893},{lat:59.66135645126263,lng:17.957544583642125},{lat:59.66096306949181,lng:17.957740901064028}
ESSA	26	{lat:59.66409370690587,lng:17.979057958905525},{lat:59.66370029302099,lng:17.979254039944127},{lat:59.66096306949181,lng:17.957740901064028},{lat:59.66135645126263,lng:17.957544583642125}
LFPG	08L	{lat:48.995483831184345,lng:2.5527691997061868},{lat:48.99588816881018,lng:2.5527188000892673},{lat:48.99720729614049,lng:2.577351748347356},{lat:48.996802947807026,lng:2.577401949345606}
LFPG	08R	{lat:48.99264489374,lng:2.565694481757668},{lat:48.99318310625031,lng:2.5656275178806145},{lat:48.99416657248987,lng:2.584014754089652},{lat:48.99362834935459,lng:2.584081520638068}
LFPG	09L	{lat:49.024449903649604,lng:2.524925687752881},{lat:49.02498809634056,lng:2.5248583118827805},{lat:49.02597706437377,lng:2.5432580455715903},{lat:49.02543886098679,lng:2.5433252237793966}
LFPG	09R	{lat:49.020414839063356,lng:2.5130833588059813},{lat:49.02081916093112,lng:2.5130326409880093},{lat:49.02213976586049,lng:2.5375615903414097},{lat:49.02173543326409,lng:2.537612110228706}
