airport	runway	bbox	lat1	lng1	lat2	lng2
EBBR	01	{lat:50.886872016941915,lng:4.491759071587964},{lat:50.88698398204082,lng:4.491068927582665},{lat:50.89998411775801,lng:4.496369857213668},{lat:50.89987212140207,lng:4.497060181137483},	50.886928	4.491414	50.912928	4.502019
EBBR	07L	{lat:50.89888762239796,lng:4.456351076470042},{lat:50.89925637744847,lng:4.4560829224681715},{lat:50.906056267720295,lng:4.479603061244074},{lat:50.90568745880971,lng:4.479871068101911},	50.899072	4.456217	50.912667	4.503264
EBBR	07R	{lat:50.88884854533597,lng:4.48053565527415},{lat:50.88922945455942,lng:4.480314343820983},{lat:50.89418293776219,lng:4.501749640540425},{lat:50.89380198802699,lng:4.501970800214618},	50.889039	4.480425	50.898942	4.523300
EBBR	19	{lat:50.912984013308765,lng:4.501673747603595},{lat:50.912871985673135,lng:4.502364251565367},{lat:50.89987212140208,lng:4.497060181137483},{lat:50.89998411775802,lng:4.496369857213668},	50.912928	4.502019	50.886928	4.491414
EBBR	25L	{lat:50.89913249506098,lng:4.523189495659084},{lat:50.89875150483469,lng:4.523410503436779},{lat:50.89380198802699,lng:4.501970800214617},{lat:50.89418293776219,lng:4.501749640540425},	50.898942	4.523300	50.889039	4.480425
EBBR	25R	{lat:50.91285143130047,lng:4.503130069695391},{lat:50.91248256854632,lng:4.503397929243166},{lat:50.90568745880971,lng:4.479871068101911},{lat:50.906056267720295,lng:4.479603061244074},	50.912667	4.503264	50.899072	4.456217
EDDF	07C	{lat:50.03236398210715,lng:8.534777723739131},{lat:50.03287001770788,lng:8.534484274714726},{lat:50.03912849401157,lng:8.560655983072504},{lat:50.03862239244944,lng:8.560949194492098},	50.032617	8.534631	50.045128	8.586981
EDDF	07L	{lat:50.036865942972625,lng:8.497188354058538},{lat:50.03724605692274,lng:8.496967645067812},{lat:50.04163201601916,lng:8.515285534354813},{lat:50.041251867342254,lng:8.515506118466684},	50.037056	8.497078	50.045825	8.533717
EDDF	07R	{lat:50.027351910412506,lng:8.534285196199244},{lat:50.027732089483145,lng:8.534064802928496},{lat:50.03399055834703,lng:8.560239481961926},{lat:50.0336103297292,lng:8.560459696721765},	50.027542	8.534175	50.040053	8.586531
EDDF	18	{lat:50.03416772094512,lng:8.525615212874921},{lat:50.03417027819804,lng:8.526246787141897},{lat:50.01632477785494,lng:8.526421734842653},{lat:50.016322221551924,lng:8.525790395164726},	50.034169	8.525931	49.998478	8.526281
EDDF	25C	{lat:50.04538108365017,lng:8.586834512433992},{lat:50.04487491616548,lng:8.587127486021279},{lat:50.03862239244944,lng:8.560949194492098},{lat:50.03912849401157,lng:8.560655983072504},	50.045128	8.586981	50.032617	8.534631
EDDF	25L	{lat:50.0402431390159,lng:8.586420981525253},{lat:50.0398628608801,lng:8.586641017603293},{lat:50.0336103297292,lng:8.560459696721768},{lat:50.03399055834703,lng:8.56023948196193},	50.040053	8.586531	50.027542	8.534175
EDDF	25R	{lat:50.046015091642516,lng:8.533606769988861},{lat:50.045634908253085,lng:8.533827229138048},{lat:50.041251867342254,lng:8.515506118466684},{lat:50.04163201601916,lng:8.515285534354813},	50.045825	8.533717	50.037056	8.497078
EDDF	36	{lat:49.99847927724916,lng:8.526596552670524},{lat:49.998476721895074,lng:8.52596544734625},{lat:50.016322221551924,lng:8.525790395164726},{lat:50.01632477785494,lng:8.526421734842653},	49.998478	8.526281	50.034169	8.525931
EDDK	06	{lat:50.85993917115375,lng:7.12391718994358},{lat:50.86030482868068,lng:7.123638808964916},{lat:50.86507940677401,lng:7.139384244142809},{lat:50.86471371180083,lng:7.139662530134535},	50.860122	7.123778	50.869669	7.155272
EDDK	14L	{lat:50.880286757883034,lng:7.128759249564228},{lat:50.88065124126517,lng:7.1293907529056755},{lat:50.868015123879,lng:7.147704202246857},{lat:50.867650739304246,lng:7.1470727269167185},	50.880469	7.129075	50.855194	7.165692
EDDK	14R	{lat:50.87070707448147,lng:7.120623853697502},{lat:50.87098092503802,lng:7.121098147695777},{lat:50.86481224840894,lng:7.130039825587258},{lat:50.864538434087976,lng:7.1295655418257535},	50.870844	7.120861	50.858506	7.138742
EDDK	24	{lat:50.86985186612386,lng:7.155132903990173},{lat:50.869486133710836,lng:7.155411094918472},{lat:50.86471371180083,lng:7.139662530134532},{lat:50.86507940677401,lng:7.139384244142808},	50.869669	7.155272	50.860122	7.123778
EDDK	32L	{lat:50.858642888806806,lng:7.138979137446395},{lat:50.858369110712665,lng:7.138504863945846},{lat:50.864538434087976,lng:7.129565541825755},{lat:50.86481224840894,lng:7.130039825587259},	50.858506	7.138742	50.870844	7.120861
EDDK	32R	{lat:50.85537614248223,lng:7.166007724825013},{lat:50.85501185666597,lng:7.1653762776411085},{lat:50.867650739304246,lng:7.1470727269167185},{lat:50.868015123879,lng:7.147704202246857},	50.855194	7.165692	50.880469	7.129075
EDDM	08L	{lat:48.362498796085575,lng:11.767596814827801},{lat:48.36303520389542,lng:11.767503184679194},{lat:48.36509782963323,lng:11.794313239836114},{lat:48.36456140010082,lng:11.794406591420165},	48.362767	11.767550	48.366886	11.821172
EDDM	08R	{lat:48.34040080395566,lng:11.751063896510205},{lat:48.340937196025294,lng:11.750970102996325},{lat:48.34300431915647,lng:11.77776765694848},{lat:48.34246790533444,lng:11.777861172268752},	48.340669	11.751017	48.344797	11.804614
EDDM	26L	{lat:48.345065217746274,lng:11.804567381229905},{lat:48.34452878223489,lng:11.804660618279444},{lat:48.34246790533444,lng:11.777861172268752},{lat:48.34300431915647,lng:11.77776765694848},	48.344797	11.804614	48.340669	11.751017
EDDM	26R	{lat:48.36715422558652,lng:11.821125463283714},{lat:48.366617774394705,lng:11.8212185362261},{lat:48.36456140010082,lng:11.794406591420163},{lat:48.36509782963323,lng:11.794313239836113},	48.366886	11.821172	48.362767	11.767550
EGLL	09L	{lat:51.47726423080832,lng:-0.4894399425089402},{lat:51.47771376919164,lng:-0.48944405751133796},{lat:51.477810122394935,lng:-0.46136447639545525},{lat:51.477360583061994,lng:-0.46136063812880485},	51.477489	-0.489442	51.477675	-0.433283
EGLL	09R	{lat:51.46455623056992,lng:-0.48674501133860454},{lat:51.46500576943005,lng:-0.48674898868098637},{lat:51.4650932166645,lng:-0.46042540776873814},{lat:51.4646436769429,lng:-0.4604216897386565},	51.464781	-0.486747	51.464950	-0.434100
EGLL	27L	{lat:51.465174770262486,lng:-0.4341017293658161},{lat:51.46472522973749,lng:-0.43409827065122036},{lat:51.4646436769429,lng:-0.4604216897386566},{lat:51.4650932166645,lng:-0.460425407768738},	51.464950	-0.434100	51.464781	-0.486747
EGLL	27R	{lat:51.47789977010823,lng:-0.4332847807723548},{lat:51.47745022989174,lng:-0.433281219245196},{lat:51.477360583061994,lng:-0.46136063812880534},{lat:51.477810122394935,lng:-0.4613644763954546},	51.477675	-0.433283	51.477489	-0.489442
EKCH	04L	{lat:55.59206659110763,lng:12.603806403064471},{lat:55.59233340829739,lng:12.60326559509701},{lat:55.60447788395605,lng:12.622037762051773},{lat:55.60421098416284,lng:12.622578609743439},	55.592200	12.603536	55.616486	12.641092
EKCH	04R	{lat:55.60296653641444,lng:12.633317393636904},{lat:55.60323346299074,lng:12.632776604523137},{lat:55.614390213609134,lng:12.650038673815624},{lat:55.614123211087886,lng:12.650579499271073},	55.603100	12.633047	55.625411	12.667581
EKCH	12	{lat:55.626091075845075,lng:12.633045793409465},{lat:55.626430923841816,lng:12.633438208291889},{lat:55.61956430797528,lng:12.65208702129041},{lat:55.6192245195073,lng:12.651694513486216},	55.626261	12.633242	55.612525	12.670533
